,leagueId,number_of_teams,startId,endId,seasonId,status_code
1132,48619588,12,48357343,48857343,2020,200
1133,48621339,10,48357343,48857343,2019,200
1134,48621339,10,48357343,48857343,2020,200
1135,48628968,8,48357343,48857343,2019,200
1136,48628968,8,48357343,48857343,2020,200
1137,48629211,10,48357343,48857343,2019,200
1138,48629211,10,48357343,48857343,2020,200
1139,48629789,6,48357343,48857343,2019,200
1140,48629789,6,48357343,48857343,2020,200
1141,48633409,10,48357343,48857343,2019,200
1142,48633409,10,48357343,48857343,2020,200
1143,48634976,10,48357343,48857343,2019,200
1144,48634976,10,48357343,48857343,2020,200
1145,48635887,10,48357343,48857343,2019,200
1146,48635887,10,48357343,48857343,2020,200
1147,48641165,8,48357343,48857343,2019,200
1148,48641165,8,48357343,48857343,2020,200
1149,48643508,6,48357343,48857343,2019,200
1150,48643508,6,48357343,48857343,2020,200
1151,48644514,10,48357343,48857343,2019,200
1152,48644514,10,48357343,48857343,2020,200
1153,48649735,4,48357343,48857343,2019,200
1154,48649735,4,48357343,48857343,2020,200
1155,48652153,10,48357343,48857343,2019,200
1156,48652153,10,48357343,48857343,2020,200
1157,48652427,10,48357343,48857343,2019,200
1158,48652427,10,48357343,48857343,2020,200
1159,48653563,20,48357343,48857343,2019,200
1160,48653563,20,48357343,48857343,2020,200
1161,48659187,10,48357343,48857343,2019,200
1162,48659187,10,48357343,48857343,2020,200
1163,48660204,12,48357343,48857343,2019,200
1164,48660204,12,48357343,48857343,2020,200
1165,48662689,12,48357343,48857343,2019,200
1166,48662689,12,48357343,48857343,2020,200
1167,48666504,6,48357343,48857343,2019,200
1168,48666504,6,48357343,48857343,2020,200
1169,48669627,12,48357343,48857343,2019,200
1170,48669627,12,48357343,48857343,2020,200
1171,48669749,12,48357343,48857343,2019,200
1172,48669749,12,48357343,48857343,2020,200
1173,48671009,12,48357343,48857343,2019,200
1174,48671009,12,48357343,48857343,2020,200
1175,48672928,8,48357343,48857343,2019,200
1176,48672928,8,48357343,48857343,2020,200
1177,48673572,13,48357343,48857343,2019,200
1178,48673572,13,48357343,48857343,2020,200
1179,48673782,12,48357343,48857343,2019,200
1180,48673782,12,48357343,48857343,2020,200
1181,48678072,13,48357343,48857343,2019,200
1182,48678072,13,48357343,48857343,2020,200
